,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
93,Business Strategy,Duke University,SPECIALIZATION,4.7,Beginner,290k
462,Business Technology Management,LearnQuest,SPECIALIZATION,4.5,Beginner,16k
618,Business Transformation with Google Cloud,Unity,SPECIALIZATION,4.6,Intermediate,18k
44,Business and Financial Modeling,DeepLearning.AI,SPECIALIZATION,4.7,Intermediate,20k
257,C# Programming for Unity Game Development,"University of California, Irvine",COURSE,4.7,Beginner,42k
347,CAD and Digital Manufacturing,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,62k
861,COBOL Programming with VSCode,Yale University,COURSE,4.8,Mixed,100k
885,COVID-19 Contact Tracing For Nursing Professionals,ESSEC Business School,COURSE,4.7,Beginner,34k
821,COVID-19: What You Need to Know (CME Eligible),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,4.9k
562,"Cameras, Exposure, and Photography",University System of Georgia,COURSE,4.6,Beginner,69k
696,Career Brand Management,Hebrew University of Jerusalem,COURSE,4.9,Mixed,39k
827,Chemicals and Health,UCL School of Management,COURSE,4.8,Beginner,14k
210,Child Nutrition and Cooking,Salesforce,PROFESSIONAL CERTIFICATE,4.6,Beginner,7.7k
656,Children's Human Rights - An Interdisciplinary Introduction,Georgia Institute of Technology,COURSE,4.8,Mixed,180k
368,Chinese for Beginners,"University of California, Santa Cruz",COURSE,4.8,Beginner,56k
669,Ciencia de Datos de IBM,E-Learning Development Fund,COURSE,4.9,Beginner,40k
400,Circular Economy - Sustainable Materials Management,"University of Maryland, College Park",SPECIALIZATION,4.7,Intermediate,89k
551,Classical Sociological Theory,"University of California, Santa Cruz",COURSE,4.6,Intermediate,110k
782,Claves para Gestionar Personas,INSEAD,COURSE,4.7,Beginner,31k
710,Climate Change and Health: From Science to Action,Tecnológico de Monterrey,SPECIALIZATION,4.7,Beginner,10k
294,Clinical Terminology for International and U.S. Students,Copenhagen Business School,COURSE,4.7,Beginner,93k
734,Cloud Architecture with Google Cloud 日本語版,University of Alberta,COURSE,4.9,Mixed,58k
367,Cloud Computing,DeepLearning.AI,COURSE,4.8,Intermediate,26k
875,Cloud Computing Basics (Cloud 101),BCG,COURSE,4.8,Beginner,18k
14,Cloud Engineering with Google Cloud,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,320k
282,Coaching Skills for Managers,University at Buffalo,SPECIALIZATION,4.6,Beginner,74k
160,Coding for Everyone: C and C++,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,130k
824,Communication Skills for Engineers,Berklee College of Music,COURSE,4.8,Beginner,90k
392,Communication Strategies for a Virtual Age,Dyslexia and Literacy International,COURSE,4.8,Mixed,66k
813,Community Organizing for Social Justice,LearnQuest,COURSE,4.5,Beginner,17k
683,Competitive Strategy and Organization Design,Stanford University,COURSE,4.7,Beginner,3.1k
507,Computational Social Science,University of Toronto,SPECIALIZATION,4.7,Beginner,180k
598,Computer Communications,Unity,SPECIALIZATION,4.5,Intermediate,12k
697,Computer Security and Systems Management,Emory University,COURSE,4.4,Intermediate,17k
524,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,Google Cloud,COURSE,4.7,Intermediate,24k
75,Construction Management,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,20k
338,Construction Project Management,DeepLearning.AI,COURSE,4.6,Intermediate,78k
390,Contabilidad para no contadores,University of Toronto,COURSE,4.8,Beginner,100k
285,Content Strategy for Professionals,Hebrew University of Jerusalem,COURSE,4.9,Mixed,110k
206,Convolutional Neural Networks,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,95k
276,Convolutional Neural Networks in TensorFlow,University of Colorado Boulder,SPECIALIZATION,4.5,Beginner,36k
805,Corporate & Commercial Law I: Contracts & Employment Law,Lund University,COURSE,4.7,Beginner,11k
317,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,University of Colorado System,COURSE,4.9,Beginner,1.7k
877,Cost and Economics in Pricing Strategy,University of Colorado Boulder,COURSE,4.3,Advanced,10k
111,Crash Course on Python,Stanford University,COURSE,4.9,Beginner,190k
83,Creative Writing,University of Michigan,SPECIALIZATION,4.7,Beginner,300k
435,Creative Writing: The Craft of Plot,Yale University,COURSE,4.9,Beginner,120k
502,"Custom Models, Layers, and Loss Functions with TensorFlow",Google Cloud,COURSE,4.7,Beginner,39k
245,Customer Analytics,The University of Chicago,COURSE,4.9,Beginner,170k
629,Customer Segmentation and Prospecting,"University of California, Irvine",COURSE,4.7,Mixed,120k
348,Cybersecurity,Erasmus University Rotterdam,COURSE,4.8,Beginner,11k
714,"Cybersecurity Roles, Processes & Operating System Security",Copenhagen Business School,COURSE,4.7,Mixed,78k
867,Cybersecurity: Developing a Program for Your Business,Stanford University,COURSE,4.7,Beginner,22k
749,Dairy Production and Management,Rice University,COURSE,4.6,Mixed,60k
871,Data Analysis and Interpretation,Universidad de los Andes,SPECIALIZATION,4.9,Intermediate,52k
79,Data Analysis and Presentation Skills: the PwC Approach,Facebook,COURSE,4.9,Beginner,55k
32,Data Engineering with Google Cloud,Google,COURSE,4.8,Beginner,590k
346,Data Management for Clinical Research,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,140k
447,Data Mining,IESE Business School,COURSE,4.6,Beginner,14k
323,Data Science Math Skills,University of Michigan,SPECIALIZATION,4.7,Beginner,23k
283,Data Science with Databricks for Data Analysts,Northwestern University,SPECIALIZATION,4.6,Beginner,34k
31,Data Science: Foundations using R,BCG,SPECIALIZATION,4.7,Beginner,500k
87,Data Structures and Algorithms,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,730k
660,Data Visualization & Dashboarding with R,(ISC)²,COURSE,4.6,Beginner,46k
222,Data Warehousing for Business Intelligence,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,19k
538,Data-driven Decision Making,University of Minnesota,SPECIALIZATION,4.3,Intermediate,36k
303,Databases and SQL for Data Science,University of London,COURSE,4.7,Mixed,13k
4,Deep Learning,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,390k
22,DeepLearning.AI TensorFlow Developer,Google Cloud,SPECIALIZATION,4.7,Intermediate,450k
884,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,University of California San Diego,COURSE,4.6,Mixed,240k
417,Design Thinking for Innovation,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,20k
682,Design Thinking for the Greater Good: Innovation in the Social Sector,Autodesk,COURSE,4.7,Advanced,28k
175,Design and Interpretation of Clinical Trials,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,120k
453,Design of Experiments,ESSEC Business School,COURSE,4.7,Beginner,6.6k
546,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Rice University,COURSE,4.7,Intermediate,40k
304,Developing APIs with Google Cloud's Apigee API Platform,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,83k
753,Developing Your Musicianship,University of California San Diego,COURSE,4.9,Beginner,260k
858,Differential Equations for Engineers,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,11k
278,Digital Advertising Strategy,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,23k
718,Digital Business Models,University of Florida,COURSE,4.9,Mixed,9.6k
284,Digital Manufacturing & Design Technology,DeepLearning.AI,SPECIALIZATION,4.6,Intermediate,31k
40,Digital Marketing,University of Michigan,SPECIALIZATION,4.5,Intermediate,680k
231,Digital Product Management: Modern Fundamentals,Arizona State University,SPECIALIZATION,4.9,Beginner,92k
339,Digital Signal Processing,Duke University,SPECIALIZATION,4.6,Beginner,290k
293,Digital Transformation,Google,COURSE,4.7,Beginner,140k
239,Digital Transformation in Financial Services,IE Business School,SPECIALIZATION,4.6,Beginner,49k
485,Digitalisation in Aeronautics and Space,Yale University,COURSE,4.9,Beginner,43k
465,Dino 101: Dinosaur Paleobiology,Sciences Po,COURSE,4.7,Beginner,42k
762,Discrete Optimization,University of Geneva,COURSE,4.9,Mixed,52k
184,Diversity and inclusion in the workplace,DeepLearning.AI,COURSE,4.7,Intermediate,59k
321,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Duke University,COURSE,4.5,Beginner,230k
195,Django for Everybody,Rice University,SPECIALIZATION,4.8,Beginner,230k
428,Dog Emotion and Cognition,HEC Paris,COURSE,4.6,Intermediate,38k
350,Driving business towards the Sustainable Development Goals,Columbia University,COURSE,4.9,Mixed,99k
831,Drug Development,The Museum of Modern Art,COURSE,4.8,Beginner,370k
490,Drug Discovery,University of London,COURSE,4.7,Beginner,74k
151,Dynamic Public Speaking,IESE Business School,SPECIALIZATION,4.8,Beginner,140k
542,Développement psychologique de l'enfant,"University of California, Davis",COURSE,4.7,Mixed,80k
758,EU policy and implementation: making Europe work!,Google Cloud,COURSE,4.4,Beginner,36k
652,Ecology: Ecosystem Dynamics and Conservation,Johns Hopkins University,COURSE,4.6,Mixed,39k
605,Econometrics: Methods and Applications,Johns Hopkins University,COURSE,4.8,Beginner,27k
179,"Effective Communication: Writing, Design, and Presentation",University of California San Diego,SPECIALIZATION,4.5,Intermediate,180k
705,Effective Compliance Programs,Emory University,SPECIALIZATION,4.3,Intermediate,45k
723,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,University of Alberta,COURSE,4.7,Mixed,83k
177,Electronic Music Production,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,200k
794,Embedded Software and Hardware Architecture,"University of California, Irvine",COURSE,4.8,Beginner,20k
501,Embedding Sensors and Motors,Universidade de São Paulo,COURSE,4.8,Beginner,120k
761,Emerging Technologies: From Smartphones to IoT to Big Data,University of Illinois at Urbana-Champaign,COURSE,4.8,Advanced,5.9k
256,"Energy Production, Distribution & Safety",Johns Hopkins University,SPECIALIZATION,4.6,Intermediate,80k
326,Engineering Health: Introduction to Yoga and Physiology,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,58k
205,Engineering Project Management,Georgia Institute of Technology,COURSE,4.8,Mixed,600k
615,Engineering Project Management: Initiating and Planning,"University of California, Davis",COURSE,4.9,Beginner,11k
733,English Composition I,Google Cloud,SPECIALIZATION,4.5,Intermediate,6.1k
529,English for Business and Entrepreneurship,The George Washington University,COURSE,4.8,Intermediate,8k
664,English for Journalism,University of Colorado Boulder,SPECIALIZATION,4.2,Beginner,23k
431,English for Research Publication Purposes,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k
587,Enterprise Architecture,Google Cloud,COURSE,5,Intermediate,1.6k
269,Entrepreneurial Finance: Strategy and Innovation,University of Illinois at Urbana-Champaign,COURSE,4.1,Mixed,19k
429,Entrepreneurship 1: Developing the Opportunity,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,69k
152,Entrepreneurship: Growing Your Business,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,120k
745,Entreprise et changement climatique,"University of Maryland, College Park",COURSE,4.7,Beginner,64k
472,Epidemiology for Public Health,DeepLearning.AI,COURSE,4.8,Intermediate,5.2k
139,Epidemiology in Public Health Practice,University of Washington,SPECIALIZATION,4.8,Intermediate,200k
466,Epidemiology: The Basic Science of Public Health,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,110k
617,Equine Welfare and Management,Facebook,COURSE,4.9,Beginner,4.1k
823,Esports,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,16k
746,Essential Epidemiologic Tools for Public Health Practice,University of Michigan,COURSE,4.8,Beginner,130k
525,Essential Google Cloud Infrastructure: Core Services,EDHEC Business School,COURSE,4.8,Mixed,27k
708,Everyday Chinese Medicine,Yale University,SPECIALIZATION,4.7,Beginner,15k
140,"Everyday Excel, Part 1",University of Toronto,SPECIALIZATION,4.7,Advanced,100k
437,Everyday Parenting: The ABCs of Child Rearing,University of Colorado Boulder,COURSE,4.8,Beginner,94k
355,Excel Basics for Data Analysis,Stanford University,SPECIALIZATION,4.7,Beginner,380k
25,Excel Skills for Business,Google Cloud,SPECIALIZATION,4.7,Intermediate,460k
121,Excel Skills for Business: Essentials,Google Cloud,SPECIALIZATION,4.5,Intermediate,110k
583,Excel Skills for Business: Intermediate II,BCG,COURSE,4.8,Beginner,21k
770,Excel aplicado a los negocios (Nivel Avanzado),Google Cloud,COURSE,4.7,Intermediate,370k
67,Excel to MySQL: Analytic Techniques for Business,DeepLearning.AI,COURSE,4.9,Intermediate,880k
148,Excel/VBA for Creative Problem Solving,Northwestern University,SPECIALIZATION,4.7,Intermediate,110k
439,"Excel/VBA for Creative Problem Solving, Part 1",Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,240k
129,Executive Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Advanced,300k
371,Exploratory Data Analysis for Machine Learning,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,230k
414,Explore 100% online Degrees and Certificates on Coursera,DeepLearning.AI,COURSE,4.6,Intermediate,66k
288,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,COURSE,4.8,Mixed,230k
513,Explore 100% online Degrees and Certificates on Coursera,The University of Hong Kong,COURSE,4.9,Mixed,35k
522,Explore 100% online Degrees and Certificates on Coursera,Johns Hopkins University,COURSE,4.8,Beginner,18k
423,Explore 100% online Degrees and Certificates on Coursera,Università Bocconi,COURSE,4.8,Mixed,30k
324,Explore 100% online Degrees and Certificates on Coursera,New York University,COURSE,4.8,Beginner,25k
504,Explore 100% online Degrees and Certificates on Coursera,Institute of Certified Professional Managers,PROFESSIONAL CERTIFICATE,4.5,Beginner,3.4k
531,Explore 100% online Degrees and Certificates on Coursera,University of Michigan,COURSE,4.9,Mixed,3.6k
441,Explore 100% online Degrees and Certificates on Coursera,New York University,SPECIALIZATION,3.7,Intermediate,34k
495,Explore 100% online Degrees and Certificates on Coursera,Duke University,COURSE,4.7,Beginner,210k
450,Explore 100% online Degrees and Certificates on Coursera,"University of California, Irvine",COURSE,4.7,Mixed,570k
486,Explore 100% online Degrees and Certificates on Coursera,Google Cloud,COURSE,4.3,Intermediate,42k
477,Explore 100% online Degrees and Certificates on Coursera,"University of California, Irvine",SPECIALIZATION,4.8,Beginner,19k
459,Explore 100% online Degrees and Certificates on Coursera,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,76k
657,Explore 100% online Degrees and Certificates on Coursera,University of California San Diego,COURSE,4.3,Beginner,110k
432,Explore 100% online Degrees and Certificates on Coursera,Universiteit Leiden,COURSE,4.7,Beginner,140k
405,Explore 100% online Degrees and Certificates on Coursera,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,120k
297,Explore 100% online Degrees and Certificates on Coursera,Facebook,COURSE,4.9,Beginner,19k
540,Explore 100% online Degrees and Certificates on Coursera,University of Geneva,COURSE,4.9,Beginner,13k
621,Explore 100% online Degrees and Certificates on Coursera,University of Colorado System,SPECIALIZATION,4.8,Intermediate,7.9k
630,Explore 100% online Degrees and Certificates on Coursera,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,180k
333,Explore 100% online Degrees and Certificates on Coursera,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,55k
612,Explore 100% online Degrees and Certificates on Coursera,E-Learning Development Fund,SPECIALIZATION,4.4,Intermediate,40k
603,Explore 100% online Degrees and Certificates on Coursera,Erasmus University Rotterdam,COURSE,4.6,Mixed,130k
306,Explore 100% online Degrees and Certificates on Coursera,DeepLearning.AI,COURSE,4.8,Intermediate,270k
342,Explore 100% online Degrees and Certificates on Coursera,University of Copenhagen,COURSE,4.8,Beginner,50k
351,Explore 100% online Degrees and Certificates on Coursera,Michigan State University,SPECIALIZATION,4.7,Beginner,41k
594,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,COURSE,4.6,Beginner,87k
585,Explore 100% online Degrees and Certificates on Coursera,Peter the Great St. Petersburg Polytechnic University,COURSE,4.5,Beginner,6.9k
360,Explore 100% online Degrees and Certificates on Coursera,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,42k
576,Explore 100% online Degrees and Certificates on Coursera,Duke University,COURSE,4.6,Beginner,250k
369,Explore 100% online Degrees and Certificates on Coursera,IBM,COURSE,4.5,Intermediate,6.5k
567,Explore 100% online Degrees and Certificates on Coursera,The Hong Kong University of Science and Technology,COURSE,4.7,Beginner,15k
639,Explore 100% online Degrees and Certificates on Coursera,University of Toronto,COURSE,4.7,Advanced,92k
378,Explore 100% online Degrees and Certificates on Coursera,Rice University,COURSE,4.8,Beginner,19k
315,Explore 100% online Degrees and Certificates on Coursera,Università Bocconi,COURSE,4.6,Mixed,16k
558,Explore 100% online Degrees and Certificates on Coursera,ESSEC Business School,COURSE,4.7,Beginner,11k
387,Explore 100% online Degrees and Certificates on Coursera,"Birkbeck, University of London",COURSE,4.6,Mixed,64k
549,Explore 100% online Degrees and Certificates on Coursera,University of Amsterdam,COURSE,4.8,Mixed,68k
396,Explore 100% online Degrees and Certificates on Coursera,Yale University,COURSE,4.9,Beginner,21k
648,Explore 100% online Degrees and Certificates on Coursera,Stanford University,COURSE,4.9,Beginner,110k
0,Explore 100% online Degrees and Certificates on Coursera,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,720k
693,Explore 100% online Degrees and Certificates on Coursera,Rice University,SPECIALIZATION,4.7,Beginner,37k
783,Explore 100% online Degrees and Certificates on Coursera,"University of Maryland, College Park",COURSE,4.8,Beginner,15k
792,Explore 100% online Degrees and Certificates on Coursera,University of Colorado Boulder,COURSE,4.6,Intermediate,20k
117,Explore 100% online Degrees and Certificates on Coursera,Berklee College of Music,SPECIALIZATION,4.8,Beginner,110k
279,Explore 100% online Degrees and Certificates on Coursera,Stanford University,COURSE,4.6,Beginner,78k
126,Explore 100% online Degrees and Certificates on Coursera,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,91k
774,Explore 100% online Degrees and Certificates on Coursera,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,58k
135,Explore 100% online Degrees and Certificates on Coursera,DeepLearning.AI,COURSE,4.9,Beginner,370k
765,Explore 100% online Degrees and Certificates on Coursera,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,22k
144,Explore 100% online Degrees and Certificates on Coursera,University of Michigan,COURSE,4.9,Mixed,690k
153,Explore 100% online Degrees and Certificates on Coursera,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,130k
756,Explore 100% online Degrees and Certificates on Coursera,Universiteit Leiden,COURSE,4.3,Intermediate,11k
162,Explore 100% online Degrees and Certificates on Coursera,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,34k
171,Explore 100% online Degrees and Certificates on Coursera,Berklee College of Music,SPECIALIZATION,4.8,Beginner,270k
747,Explore 100% online Degrees and Certificates on Coursera,The Pennsylvania State University,COURSE,4.8,Mixed,32k
